acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
2M4F6MF5,1,E101 Herren Seniors II,Bezahlt,Online,20.07.2013,"Eiger Ultra Trail, Grindelwald",5267E9A0BD87B8A05E523417BC236C24,E101 Herren Overall,115,Datasport,15798,0C123AC4FACB7E6EF9CE6FC75D17DA7874635B6BB4E41632608E70B4BC2AAC38,Klassiert,"18:32.51,8",144
2M4F6MF5,,M60  4.,,,21.07.2012,"Stockhorn Halbmarathon, Oberwil i.S.",C067EBDE6054C5331FF6D4D5550855E8,,,Athlet,0,2014C489A3EC9E78380DFE0DB038F80F709FD64FDCF9153960CEE14E344DA968,,"2:40.47,0",
2M4F6MF5,,T201 Herren 50 Jahre+älter,Bezahlt,Post/Bank,06.07.2012,"Swiss IRONTRAIL, Davos",206609ADB1AB722F4E5653499D97AD07,T201 Herren Overall,,Datasport,14150,A62E47172244EF61F3D71118720547AEDECBDBFF7B66E16A179429BAB58B0D29,Nicht Klassiert,,147
2M4F6MF5,19,M60,,,11.05.2012,"GP Bern, Bern",C067EBDE6054C5331FF6D4D5550855E8,,,Athlet,0,2014C489A3EC9E78380DFE0DB038F80FB867A244828F6914D23C4B111A5CAA83,,"1:13.05,0",8327
2M4F6MF5,30,Männer 60,Bezahlt,ESR,10.09.2011,"Jungfrau-Marathon, Interlaken",A1B68C9CCC35FCEA1C0C76A82168D401,Overall Männer,1527,Datasport,13106,FA812E936695D72C975BCE88604110FFE3CD7BD5D5C12E58BCABA4C95AA550AE,Klassiert,"5:18.20,8",935
2M4F6MF5,,42.195km Men M60,Bezahlt,Post/Bank,17.04.2011,"Zürich Marathon, Teamrun und Cityrun",564C62C5AD49261E073E2BB5DCC2F16B,42.195km Men Overall,,Datasport,13913,079B9C46E808C4E41915C51B77497EE1E17FD32B891999E59E80427EEE8F39A3,Nicht Klassiert,,2671
2M4F6MF5,37,Männer M60,Bezahlt,Online,26.02.2011,ASICS Bremgarter Reusslauf,DC79B91035082A5E631F290B9CF4C453,Overall 11.0km Männer,822,Datasport,13194,AD731F4BF17F3954A662C3C1C6F8971EC44D1C63B416D7E63C047A706CCA5460,Klassiert,"48.58,3",1011
2M4F6MF5,2,35km Männer 60,Bezahlt,Post/Bank,17.10.2010,"Brienzerseelauf, Bönigen",96CA3D88905917B46719EE73C1850ED6,Overall Männer Rund um den Brienzersee,72,Datasport,12155,828D5E0FC03EC72A4D9B201F0F4685EE6F48CF6C55EBD902A532DC6620F9A6CB,Klassiert,"2:54.30,0",69
2M4F6MF5,13,Männer 60,Bezahlt,ESR,11.09.2010,"Jungfrau-Marathon, Interlaken",66D9403B546DF7095857486B40D9F0AE,Overall Männer,772,Datasport,12106,3059A6C2628882D89FD1D366031C36458F42C6B3476A5982DD600DDAAEC71FAC,Klassiert,"4:41.16,3",889
2M4F6MF5,3,Marathon Männer M60,Bezahlt,ESR,11.09.2010,Mountain Marathon Cup,976EE15B383FDFEDF13175AF756FB957,Overall Marathon Männer,49,Datasport,12518,B5C479FAAF19906D2755229B3FDA949D8F42C6B3476A5982DD600DDAAEC71FAC,Klassiert,"4:41.16,3",889
