acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
GG97SGYB,3,Marathon Männer M60,Bezahlt,Post/Bank,23.06.2012,"Graubünden Marathon/Walking, Lenzerheide",A52D05F3AA4E8DDC2087B57AD0B22140,,154,Datasport,14918.0,3A165C5DBB201E6FD64EDDFE8D31932D41EFB872843F4E4D64FFABC200CBEB4F,Klassiert,"5:52.36,2",285
GG97SGYB,35,(M60) 15 km Männer 60-64 Jahre,Bezahlt,ESR,17.03.2012,Kerzerslauf,69C14510800C8D80B5513EF242C21834,15 km Männer,1481,Datasport,14101.0,C270110A0F6E9AE6470D2DE341EF6854F11F9BFB62E72473FC6B08E3BF12293C,Klassiert,"1:12.02,9",4197
GG97SGYB,1119,Marathon Herren Elite C,Bezahlt,ESR,11.03.2012,"Engadin Skimarathon, Maloja/S-Chanf",6DE512E2BF91C7129E558C428ADD807D,Marathon Männer,2869,Datasport,14705.0,0A19DC678E9C3080088858BB79E44BDF128F9FAEE786C2E8A8018EBB14AEAEFA,Klassiert,"2:28.55,2",22889
GG97SGYB,22,30km Männer 60,Bezahlt,ESR,25.02.2012,"Gommerlauf, Blitzingen-Oberwald",8DE919DDBA6177D99907AB8B570BAE0E,Overall Männer 30km,395,Datasport,14704.0,F91D48E63457016425401A1D50D36F7E06649CB993AAD9A8D513218DD2DBF827,Klassiert,"1:57.33,1",793
GG97SGYB,17,Marathon Hommes V,Bezahlt,ESR,30.10.2011,Lausanne Marathon,B3C57FEF598E274EC0CEB3C0FF9D43B2,Marathon Hommes Overall,588,Datasport,13110.0,069B0988A7D02B624F8D161E13D4186AD980FC5AE381D17FB7D86FE6DFA72C55,Klassiert,"3:56.09,4",755
GG97SGYB,24,Hommes M60,Bezahlt,ESR,01.10.2011,Morat-Fribourg,3531BCA0F579F5C48A4924B1AF5DC009,Overall Hommes,1415,Datasport,13109.0,D5A9BF997162BDD89F686411B44EA7401802DDECA761FA328A55B6766724C42C,Klassiert,"1:22.59,4",2183
GG97SGYB,1,15km Männer M60,Bezahlt,Post/Bank,03.09.2011,"Sommer Gommerlauf, Ulrichen",71D70C13E64E0FFD0A6768BED2CE9C03,15km Männer Overall,32,Datasport,13751.0,86F005E96672FBADA5FAED70066DDDFE3B29C6AFBD059352FFF97D38E3B3ACE1,Klassiert,"1:18.35,4",73
GG97SGYB,,Mountainman Ultra Männer M60,Bezahlt,Online,20.08.2011,"Mountainman, Titlis-Hasliberg-Pilatus",2FFB4A1B5C4ABEF50DBC546282FFEE2A,Mountainman Ultra Männer Overall,,Datasport,13617.0,5C60FC79EF8FF67456C24F7027FD8384B2E7DB736E5FF96089F09B61386C1B2A,Aufgegeben,,92
GG97SGYB,2,Ultra Marathon Männer M60+,Bezahlt,Post/Bank,09.07.2011,"Zermatt Marathon, Zermatt",83523AAAA501A4CB52B86531F8757F73,Ultra Marathon Overall Männer,123,Datasport,13196.0,2662A35D5E507F644E74090E7DD52D0A994A9196D25F97B7CB23240ABD27EE93,Klassiert,"5:37.46,9",5254
GG97SGYB,8,Männer 60+,Bezahlt,Post/Bank,26.06.2011,"Aletsch-Halbmarathon, Bettmeralp",1F6A679E262CD0036B2213E7B94776B9,Overall Männer,433,Datasport,13933.0,FE2006F3BD60BEC3BF2D550428282C276FB2C1D21179EE4570FDE87561BE9A2C,Klassiert,"2:29.29,0",621
GG97SGYB,29,(M60) 15 km Männer 60-64 Jahre,Bezahlt,Post/Bank,19.03.2011,Kerzerslauf,4FB51466CD512E4495027292CE5FAFAA,15 km Männer,1321,Datasport,13101.0,22398DFA05540718EDC402E3EE889544404FFFECE4F6B8C11A97A7D4E10E7B00,Klassiert,"1:10.23,0",4246
GG97SGYB,208,Marathon Herren Elite C,Bezahlt,ESR,13.03.2011,"Engadin Skimarathon, Maloja/S-Chanf",3BA06A4542A4DC9628C456C9EB6C2387,Marathon Männer,1202,Datasport,13705.0,260481CDE68498BE1A20A1AC0D6BDEE87456C5896B03B3854186E5897A49DBBD,Klassiert,"2:20.22,9",22952
GG97SGYB,13,Männer 60 30km,Bezahlt,ESR,26.02.2011,"Gommerlauf, Blitzingen-Oberwald",B44FD55F5AF43AEE8B5CAECD612BADA2,Overall Männer 30km,308,Datasport,13704.0,7EC3249CF936DF4F811B90E50FFE2DCB2AD09D24DEF36AF7FB6F92E87A802343,Klassiert,"1:46.03,4",830
GG97SGYB,8,Semi Hommes V,Bezahlt,ESR,31.10.2010,Lausanne Marathon,747304ADB99F45B0398F99B03D6BA759,Semi Marathon Hommes,765,Datasport,12110.0,59D4E2F2740FFC4CC6949214E787F28719FD53DFA70BCA49A9349763A9C17934,Klassiert,"1:39.10,3",2740
GG97SGYB,24,Hommes M60,Bezahlt,ESR,02.10.2010,Morat-Fribourg,8689818E3E62909577516EBACDFC8466,Overall Hommes,1534,Datasport,12109.0,24AE16D0F3CC98408026896C42B0F4FE0026ED91E085CD9D24E1F872B99C3A91,Klassiert,"1:24.32,9",2244
GG97SGYB,44,(M60) 15 km Männer 60-64 Jahre,Bezahlt,ESR,20.03.2010,Kerzerslauf,42B462E7CCE99543C42DF3E0457E2C24,15 km Overall,1786,Datasport,12101.0,6B8BAD9BEF957A85BE6F92C14B5A2666B4DA7F0194E476401B29EE3F83F0222C,Klassiert,"1:13.12,3",4214
GG97SGYB,810,Marathon Herren Elite B,Bezahlt,ESR,14.03.2010,"Engadin Skimarathon, Maloja/S-Chanf",85FBFFA4ABAF8493621B5749DDB066E1,Marathon Männer,1687,Datasport,12705.0,2A29CA7BCA690D3A7B52715B9744D0EB6E140E25AEDA1AB012B919CA72B86E51,Klassiert,"2:18.55,8",20444
GG97SGYB,6,Männer 60 30km,Bezahlt,ESR,27.02.2010,"Gommerlauf, Blitzingen-Oberwald",22CAD382D0C5B6DF2BA5C67DBED0105C,Overall Männer 30km,278,Datasport,12704.0,D4B4E0EB2825AAB517C4D29B09CA8B693EDE985931FBA7DA7AEE62426B2E3F16,Klassiert,"1:37.40,4",855
GG97SGYB,61,Hommes M55,Bezahlt,Online,03.10.2009,Morat-Fribourg,3BFA81A21CD98295C3A451732D534F73,Overall Hommes,1693,Datasport,11109.0,8DF1B009BD8F442FDECAE73E6C1339132E7BE54A7AC8755E26585C91CE6F537A,Klassiert,"1:24.23,7",2375
GG97SGYB,38,Vétérans II,Bezahlt,Keine Zahlung,09.08.2009,"Sierre-Zinal, Sierre",098BFC8F1FA14485BFA0589D040F8759,Hommes et Femmes,429,Datasport,11138.0,ACB8FE9FC3B502037C15C614E9DA2FECB7A0BC19D8D65209D7E77CD3C2B9A411,Klassiert,"4:17.27,4",1303
GG97SGYB,21,Männer M55,Bezahlt,Keine Zahlung,04.07.2009,"Zermatt Marathon, Zermatt",9B1EDAF294EB35FB571AE6820DF89D82,Overall Männer,301,Datasport,11196.0,928232AE8E90786FA578174051BDED8E4766FC8A99B010D671A18CCFCCC1CC07,Klassiert,"5:04.13,3",489
GG97SGYB,12,Männer 55+,Bezahlt,Post/Bank,28.06.2009,"Aletsch-Halbmarathon, Bettmeralp",6D71E3734D0CA7A04E894475DDFA4E0D,Overall Männer,277,Datasport,11933.0,A31E4D23F30E8F233DFC2314520300198EB9DFA4D36A4F82CE2C327F8C5835F1,Klassiert,"2:25.00,0",376
GG97SGYB,27,Herren 50,Bezahlt,Post/Bank,31.05.2009,"Blüemlisalp-Lauf, Reichenbach",1B04EAB196614D3F81E30E856097F144,Overall 10 Meilen Herren,171,Datasport,11409.0,3DC2B1E73E3257046166B2FEBC9BD8C251C26750C01772F348D59AB38E6CF2F3,Klassiert,"1:35.55,4",288
GG97SGYB,75,(M55) 15 km Männer 55-59 Jahre,Bezahlt,ESR,21.03.2009,Kerzerslauf,836E2ADB0DA8307E862E37B495FEEE60,Overall 15 km,1493,Datasport,11101.0,5C8A9414D7F5309194F12E1B02BA33F125ECF70D4712CF9E52353D37165ADC1B,Klassiert,"1:10.29,4",4279
GG97SGYB,805,Herren Elite B,Bezahlt,ESR,08.03.2009,"Engadin Skimarathon, Maloja/S-Chanf",0024CBDF18DD8C38E721543B7508AD8E,Marathon Männer,1440,Datasport,11705.0,F4F73A3CA1AF6062814E14920ABEDA7110E9DDD1D3F16C178B8029FDCAF4B9E1,Klassiert,"2:21.42,0",20563
GG97SGYB,55,Semi Hommes IV,Bezahlt,,26.10.2008,Lausanne Marathon,98322A41D2D510CD3490F4AF58431CF7,Semi Marathon Hommes,604,Datasport,10110.0,9AB9832186E9AEE3F89043B9F6F99E19F27CB7916150FEEA3F404BC3628B3D01,Klassiert,"1:38.59,7",3601
GG97SGYB,57,Hommes M55,Bezahlt,,04.10.2008,Morat-Fribourg,F46CDDDB0ED1DC5754644AB72F515C5B,Overall Hommes,1533,Datasport,10109.0,DDAEF9FF58E05923F628D043DB4BC10DB3C84C06B32BA3F49DC00C550D44BC1C,Klassiert,"1:21.59,7",2804
GG97SGYB,40,Männer 55,Bezahlt,,06.09.2008,"Jungfrau-Marathon, Interlaken",3F297C3E01BF05567BB87CCCA9B83ED5,Overall Männer,906,Datasport,10106.0,EC5D06741E340F7DD8A9822F568336FA570EAECC5C95F9B4F6FE2F2E2DDE3A97,Klassiert,"4:49.34,7",1597
GG97SGYB,26,Vétérans II,Bezahlt,,10.08.2008,"Sierre-Zinal, Sierre",DFC17A0E6EF990D2DE16A4F039245F7E,Hommes et Femmes,363,Datasport,10138.0,3DC3BBC58B7F2AE7FD84BE7774FE28490F8E9B95CE303347E429317AB11DF32D,Klassiert,"4:07.19,6",1717
GG97SGYB,11,Männer M55,Bezahlt,,05.07.2008,"Zermatt Marathon, Zermatt",EF3F979740087906CAF1A567EB158451,Overall Männer,235,Datasport,10196.0,3243BD080DCABF1F9ABA3F5F362CB297009921E362FE2E14C3939DA95EA3F5D2,Klassiert,"4:54.42,1",56
