acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
KRP3LRMG,73,Men M40,Bezahlt,Post/Bank,26.04.2009,"Zürich Marathon, Teamrun und Cityrun",CB64EBE28629D8BB29E8EA96DA8158B3,Overall Men,287,Datasport,11913,8CF06FD2A42F76A87492C868DFF1DF75B0272620AE4968518902B8AA6359E2B5,Klassiert,"3:01.31,6",8224
KRP3LRMG,44,(M40) 15 km Männer 40-44 Jahre,Bezahlt,ESR,21.03.2009,Kerzerslauf,05C4E9C5C741D7683D605BD5D9C2EAD6,Overall 15 km,287,Datasport,11101,B7194D7331AA47E037D8A164016B390F07779804C8FD9A41F68CB15E629AA963,Klassiert,"59.25,2",1164
KRP3LRMG,20,Männer 40 HM,Bezahlt,,12.10.2008,"Brienzerseelauf, Bönigen",837F2999926CCD480EB199820BF2F9C8,Overall Männer Halbmarathon,46,Datasport,10155,0E3D864A2865BBADE28EAE06582F4EE83ABEB20366F3F48D56D81DF86F994810,Klassiert,"1:27.13,3",760
KRP3LRMG,124,Männer 40,Bezahlt,,06.09.2008,"Jungfrau-Marathon, Interlaken",DA16D2D2D48FA1DD5223A857DF0F6644,Overall Männer,496,Datasport,10106,461C7B4CFC1D62B417419D1EFC12F59FD93E7D97075EF2B1DC49CA2EB927ABCB,Klassiert,"4:31.16,5",1082
KRP3LRMG,46,Inferno Team Trophy - Open,Bezahlt,,22.08.2008,"Inferno Triathlon, Mürren",CF27CAEB45C12E2916D445D89761D14A,,,Datasport,10532,F2CDEEE92E1BF847E331347E32706FDC23CE2937E5BACA50F48B081857EC56EA,Klassiert,"8:26.51,2",512
KRP3LRMG,66,Männer 40+,Bezahlt,,29.06.2008,"Aletsch-Halbmarathon, Bettmeralp",3D00D09A48D4A35DEA0C98E0C0F4D56C,Overall Männer,372,Datasport,10933,402ADD7E9EBFF88A1D44646E0639480996DFD03FBF35994EF40E9F1869C8B8CC,Klassiert,"2:31.27,2",85
KRP3LRMG,14,Männer 40,Bezahlt,,14.10.2007,"Brienzerseelauf, Bönigen",484F0555F82736D3ADBEE619E30EEC55,Overall Männer Rund um den Brienzersee,46,Datasport,9155,F8ECF5C40F2CCA9D32982249623B92222875FFA1535EA8150585C03A583A2FD8,Klassiert,"2:40.36,9",273
KRP3LRMG,44,Männer 40,Bezahlt,,08.09.2007,"Jungfrau-Marathon, Interlaken",692B22F4D560B4EC8E5A36889B947ABB,Männer,191,Datasport,9106,1DADCE95C2960F0BEDDC82D650F720B5B3EE780F8655635D74AADCFA56D15781,Klassiert,"4:00.55,9",1103
KRP3LRMG,7,Männer 40+,Bezahlt,,24.06.2007,"Aletsch-Halbmarathon, Bettmeralp",A79AB57D75909EA49A85AD75DC9E3C07,Overall Männer,35,Datasport,9933,65C5ED9298ABDADCC6B0CF44989C9C0508A14C88393FEE5B140DE7A20FE48683,Klassiert,"1:57.48,8",117
KRP3LRMG,60,(M40) 15 km Männer 40-44 Jahre,Bezahlt,,17.03.2007,Kerzerslauf,12BFE7ED89B61434A2003F208A08E4B0,Overall 15 km,316,Datasport,9101,7E18050D52E78FAE80CD76203A042FA8E4377B8E54BFB7ECAF57D0CB464B8766,Klassiert,"59.01,4",1178
